Idx	CourseName	InstructorName	StudentNumber	CourseQuality	InstructorQuality	Difficulty
1	CIS-502-001	 SAMPATH K. KANNAN	39	3.17	3.13	3.4
2	CIS-502-001	 SAMPATH K. KANNAN	60	3.28	3.36	3.65
3	CIS-502-001	 SANJEEV KHANNA	64	2.51	3.59	2.73
4	CIS-502-001	 SUDIPTO GUHA	36	2.59	3.32	2.66
5	CIS-502-920	 SANJEEV KHANNA	10	2.89	3.5	2.9
6	CIS-502-001	 SAMPATH K. KANNAN	38	3.08	3.57	3.41
7	CIS-502-920	 SANJEEV KHANNA	8	3.29	4	3.14
8	CIS-502-001	 SUDIPTO GUHA	7	3.14	3.57	3
9	CIS-502-002	 SUDIPTO GUHA	36	2.61	3.61	2.39
10	CIS-502-910	 SANJEEV KHANNA	6	3	3.67	3
11	CIS-502-001	 SANJEEV KHANNA	20	3.29	3.47	3.41
12	CIS-502-002	 SANJEEV KHANNA	27	2.96	3.48	3.13
13	CIS-502-001	 SUDIPTO GUHA	17	2.79	2.93	3.21
14	CIS-502-002	 SUDIPTO GUHA	49	2.71	3.75	2.5
15	CIS-502-001	 SUDIPTO GUHA	14	2.9	3.3	2.8
16	CIS-502-002	 SUDIPTO GUHA	33	2.74	3.63	2.63
17	CIS-502-001	 SUDIPTO GUHA	15	3.18	2.8	3.36
18	CIS-502-002	 SUDIPTO GUHA	61	2.73	3.6	2.75
19	CIS-502-001	 SUDIPTO GUHA	124	2.89	3.51	2.63
20	CIS-502-910	 SANJEEV KHANNA	10	3.86	3.57	3.86
21	CIS-502-001	 SUDIPTO GUHA	95	2.18	3.55	1.84
22	CIS-502-001	 SUDIPTO GUHA	61	2.38	3.67	2.25
23	CIS-502-001	 SUDIPTO GUHA	86	2.03	3.83	2.05
24	CIS-511-001	 JEAN HENRI GALLIER	35	2.23	3.73	2.81
25	CIS-511-001	 JEAN HENRI GALLIER	37	2.91	3.68	3.14
26	CIS-511-001	 JEAN HENRI GALLIER	56	2.68	3.25	3
27	CIS-511-001	 RAJEEV S. ALUR	23	2.78	2.5	2.94
28	CIS-511-910	 JEAN HENRI GALLIER	21	3.2	2.9	3.7
29	CIS-511-001	 RAJEEV S. ALUR	19	2.23	2.42	2.77
30	CIS-511-910	 JEAN HENRI GALLIER	9	3.22	3	3.67
31	CIS-511-001	 RAJEEV S. ALUR	7	2.86	3.14	2.71
32	CIS-511-002	 RAJEEV S. ALUR	10	2.57	3.14	2.57
33	CIS-511-001	 JEAN HENRI GALLIER	19	2.64	2.71	2.93
34	CIS-511-002	 JEAN HENRI GALLIER	20	2.94	3.71	3.17
35	CIS-511-910	 JEAN HENRI GALLIER	10	2.9	3.5	3.9
36	CIS-511-001	 RAJEEV S. ALUR	17	3.06	2.81	3.19
37	CIS-511-002	 RAJEEV S. ALUR	17	2.93	3.21	2.71
38	CIS-511-910	 JEAN HENRI GALLIER	6	2.67	2.83	3.33
39	CIS-511-001	 SAMPATH K. KANNAN	9	3.13	3.43	3.63
40	CIS-511-002	 SAMPATH K. KANNAN	29	3.04	3.64	3.48
41	CIS-511-001	 JEAN HENRI GALLIER	17	3.07	3.31	3.71
42	CIS-511-002	 JEAN HENRI GALLIER	32	2.57	3.48	3.25
43	CIS-511-001	 SAMPATH K. KANNAN	66	3.28	3.17	3.48
44	CIS-511-910	 JEAN HENRI GALLIER	14	3.09	3.36	3.73
45	CIS-511-001	 JEAN HENRI GALLIER	58	2.86	3.64	3.02
46	CIS-511-001	 JEAN HENRI GALLIER	42	2.5	3.61	3.05
47	CIS-551-401	 CARL GUNTER	21	3.21	2.68	3.05
48	CIS-551-401	 FAROOQ ANJUM	32	2.61	2.52	2.61
49	CIS-551-401	 CARL GUNTER	40	2.73	2.67	2.93
50	CIS-551-401	 STEPHAN A. ZDANCEWIC	34	3	2.55	3.06
51	CIS-551-401	 MATTHEW BLAZE	33	2.7	2.97	2.73
52	CIS-551-401	 STEPHAN A. ZDANCEWIC	33	2.7	3.07	3.03
53	CIS-551-401	 STEPHAN A. ZDANCEWIC	22	2.71	3	2.9
54	CIS-551-401	 STEPHAN A. ZDANCEWIC	46	3.14	2.88	3.2
55	CIS-551-401	 STEPHAN A. ZDANCEWIC	31	3.2	3.05	3.3
56	CIS-551-401	 JONATHAN MICHAEL SMITH	28	2.8	2.52	2.96
57	CIS-551-401	 JONATHAN MICHAEL SMITH	48	2.02	2.62	2.35
58	CIS-551-401	 MATTHEW BLAZE	48	2.02	2.62	2.7
59	CIS-551-401	 STEPHAN A. ZDANCEWIC	38	3.09	2.53	3
60	CIS-551-401	 JONATHAN MICHAEL SMITH	52	2.74	2.59	2.93
61	CIS-551-401	 JONATHAN MICHAEL SMITH	32	2.21	1.88	2.39
62	CIS-551-001	 JONATHAN MICHAEL SMITH	56	2.26	1.95	2.28
63	BIOL-536-401	 WARREN J. EWENS	60	2.81	2.77	3.23
64	BIOL-536-401	 JESSICA CAROL KISSINGER	60	2.71	2.96	2.73
65	BIOL-536-401	 JUNHYONG KIM	46	2.47	2.97	2.69
66	BIOL-536-401	 JUNHYONG KIM	44	2.26	3	2.7
67	BIOL-536-401	 JUNHYONG KIM	32	2.75	3.25	3.06
68	BIOL-536-401	 JUNHYONG KIM	34	2.88	2.96	3.38
69	BIOL-536-401	 JUNHYONG KIM	26	2.52	3	2.9
70	BIOL-536-401	 JUNHYONG KIM	22	2.32	2.62	2.68
71	BIOL-536-401	 JUNHYONG KIM	36	2.69	3.07	2.87
72	BIOL-536-401	 JUNHYONG KIM	33	2.37	3.18	2.7
73	CSE-452-401	 MALIKA MAHOUI	6	3.67	2.67	3.67
74	CIS-505-001	 HONGHUI LU	60	1.63	2.33	1.57
75	CIS-505-001	 HONGHUI LU	75	1.38	2.03	1.28
76	CIS-505-001	 INSUP LEE	37	2.39	2.5	2.54
77	CIS-505-001	 INSUP LEE	44	1.53	1.89	1.79
78	CIS-505-001	 INSUP LEE	8	1	1.71	1.29
79	CIS-505-002	 INSUP LEE	30	1.71	2.13	1.71
80	CIS-505-001	 BOON THAU LOO	16	2.08	2.31	2.69
81	CIS-505-002	 BOON THAU LOO	58	2.83	2.73	2.87
82	CIS-505-001	 JONATHAN MICHAEL SMITH	6	2.2	2	2.2
83	CIS-505-002	 JONATHAN MICHAEL SMITH	17	2.33	2.73	2.6
84	CIS-505-001	 BOON THAU LOO	13	2.27	2.55	2.82
85	CIS-505-002	 BOON THAU LOO	53	2.39	2.61	2.29
86	CIS-505-001	 BOON THAU LOO	18	2.38	2.64	2.25
87	CIS-505-002	 BOON THAU LOO	86	3.06	2.97	2.89
88	CIS-505-001	 MATTHEW BLAZE	107	1.91	2.21	2.42
89	CIS-505-001	 MATTHEW BLAZE	80	2.01	2.03	2.24
90	CIS-505-001	 MATTHEW BLAZE	88	2.56	2.24	2.8
